대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
교통	역세권 여부	초역세권 여부	불리언	Y/N	Y / N	초역세권은 희소성 프리미엄 형성 가능	출입구 기준
교통	노선 가치	핵심 업무지구 무환승 여부	불리언	Y/N	Y / N	무환승이면 직주근접 가치가 크게 상승	노선 실효성
교통	노선 가치	평균 환승횟수	정량	회	0 / 1 / 2 / 3회 이상	환승이 적을수록 선호도 높음	시간과 함께 사용
교통	노선 가치	혼잡도 체감	정성	5점 척도	낮음 / 보통 / 높음	혼잡도가 높으면 체감 출퇴근 품질 저하	정성 데이터
교통	광역교통	GTX 접근시간	정량	분	도보 5 / 버스 10 / 차량 15 / 20분 이상	수도권 외곽 생활권 재평가 가능성에 영향	단계별 반영 필요
교통	광역교통	KTX/SRT 접근성	정량	분	20 / 30 / 40분 이상	광역 이동 편의와 일부 지역 가치에 영향	선택 지표
교통	광역교통	공항 접근성	정량	분	40 / 60 / 90분	업무·출장·해외 이동 빈도 높은 수요층에 영향	보조 지표
교통	광역교통	광역버스 배차간격	정량	분	5 / 10 / 15 / 20분 이상	외곽지역 실사용성에 중요	버스중심 지역 핵심
교통	도로 접근성	주요 IC 접근시간	정량	분	5 / 10 / 20 / 30분 이상	차량 중심 지역에서 가치 판단 핵심	수도권 외곽 중요
교통	도로 접근성	출근시간 정체 수준	정성	5점 척도	낮음 / 보통 / 높음	이동시간 예측 가능성에 영향	실거주 중요
교통	주차 동선	세대당 등록차량 추정치	정량	대/세대	0.8 / 1.2 / 1.5 / 2.0	등록차량 대비 주차여건 판단 가능	실거주형 분석
학군/교육	학군	초등학교 배정 안정성	코드	안정/가변	단일 배정 / 변동 가능 / 조정 예정	배정 안정성 높을수록 가족 수요 선호	정책 반영 가능
학군/교육	학군	중학교 배정 선호도	정성	5점 척도	매우 선호 / 선호 / 보통 / 비선호	가족 수요와 실거주 유지의사에 영향	지역별 편차 큼
학군/교육	학군	고등학교 진학 선호도	정성	5점 척도	우수 / 보통 / 약함	중장기 거주 선택에 영향	실제 진학 분위기 반영
학군/교육	통학 안전성	통학 중 대로 횡단 수	정량	개	0 / 1 / 2 / 3개 이상	횡단 많을수록 가족 실거주 감점	컷오프 가능
학군/교육	통학 안전성	보행자 신호 대기시간 체감	정성	5점 척도	짧음 / 보통 / 길음	실제 체감 통학 스트레스에 영향	세부 UX 요소
학군/교육	통학 안전성	스쿨존 체감 안전도	정성	5점 척도	안전 / 보통 / 불안	실거주 가정에서 매우 민감	정성 리스크
학군/교육	학원가 접근성	주요 학원가 거리	정량	m	300 / 500 / 1,000 / 2,000m	학원가 가까울수록 교육 수요 선호 강화	중고등 가구 중요
학군/교육	교육환경	어린이집/유치원 밀도	정성	5점 척도	풍부 / 보통 / 부족	영유아 가구 실거주 적합성에 영향	육아 지표
학군/교육	교육환경	도서관 접근성	정량	분	도보 5 / 10 / 20분	면학 분위기와 생활 편의에 보조 영향	부가 지표
생활인프라	상권 수준	상권 업종 다양성	정성	5점 척도	매우 다양 / 보통 / 부족	다양할수록 생활 편의와 체류가치 상승	정성 지표
생활인프라	상권 수준	프랜차이즈 밀도	정성	5점 척도	높음 / 보통 / 낮음	상권 안정성과 지역 이미지에 보조 영향	투자 보조지표
생활인프라	상권 수준	유흥업 비중	정량	%	낮음 / 보통 / 높음	높을수록 가족 실거주 선호 하락 가능	상권 위험도
생활인프라	생활 인프라	24시간 편의성	정성	5점 척도	우수 / 보통 / 부족	야간 생활 편의에 영향	1~2인 가구 민감
생활인프라	생활 인프라	배달 인프라 밀도	정성	5점 척도	풍부 / 보통 / 부족	젊은층·맞벌이 실거주 만족에 영향	선택 요소
생활인프라	생활 인프라	체육시설 접근성	정성	5점 척도	도보권 / 차량권 / 부족	주거 만족도 보조	신혼·중장년층
생활인프라	공원·녹지	공원 규모	코드	소형/중형/대형	근린공원 / 대형공원 / 하천공원	대형일수록 희소 프리미엄 가능	면적기준 추가 가능
생활인프라	공원·녹지	반려동물 산책 적합성	정성	5점 척도	우수 / 보통 / 미흡	일부 수요층 만족도에 영향	세부 타겟 확장 가능
생활인프라	병원 접근성	소아응급 접근성	정량	분	10 / 20 / 30분	영유아 가구 민감도 매우 높음	실거주형 핵심
생활인프라	병원 접근성	대학병원 접근성	정량	분	20 / 30 / 40분	고령층·중증 의료 접근성	장기거주 보조
단지상품성	연식	준공 후 경과연수	정량	년	3 / 5 / 10 / 20 / 30년	연식이 낮을수록 설비·평면·주차 우위	핵심 변수
단지상품성	연식	리모델링 추진 여부	코드	없음/논의/추진/진행	없음 / 초기논의 / 추진위 / 사업진행	노후 단지의 기대가치와 향후 불편 모두 영향	양면성
단지상품성	브랜드	브랜드군	코드	최상위/상위/일반	하이엔드 / 메이저 브랜드 / 일반 브랜드	초기 매수심리와 상품 인식에 영향	서비스 내부 분류 가능
단지상품성	브랜드	시공사 신뢰도	정성	5점 척도	매우 높음 / 보통 / 낮음	브랜드보다 실제 신뢰 체감이 중요	정성 데이터
단지상품성	세대수	총세대수	정량	세대	100 / 300 / 500 / 1,000 / 2,000 이상	대단지일수록 관리·거래량·인지도 우위	핵심 지표
단지상품성	세대수	임대 혼합 여부	불리언	Y/N	Y / N	일부 수요층의 심리적 선호에 영향 가능	민감 변수
단지상품성	세대수	입주 연차 분산 여부	코드	단일/복수차수	동시입주 / 순차입주	관리상태와 시세형성에 차이 가능	보조 지표
단지상품성	커뮤니티 시설	커뮤니티 수준	코드	기본/중급/고급	기본시설 / 실내골프 / 수영장 / 사우나 등	단지 상품성 차별화	관리비 고려
단지상품성	커뮤니티 시설	커뮤니티 운영상태	정성	5점 척도	활성 / 보통 / 비활성	있어도 활용이 안되면 가치 제한	정성 데이터
단지상품성	주차대수	세대당 주차대수	정량	대/세대	0.8 / 1.0 / 1.2 / 1.5 / 2.0	주차 여건이 좋을수록 실거주 만족도 우수	핵심 지표
단지상품성	주차대수	지상주차 비율	정량	%	0 / 10 / 30 / 50%	지상주차 비율 높으면 쾌적성 저하 가능	조경과 연계
단지상품성	주차대수	전기차 충전 인프라	정성	5점 척도	풍부 / 보통 / 부족	미래 편의성과 일부 수요 선호에 영향	신축 우위
단지상품성	엘리베이터·설비	라인당 세대수	정량	세대/라인	2 / 3 / 4 / 6세대 이상	라인당 세대가 적을수록 프라이버시와 혼잡도 개선	고급화 지표
단지상품성	엘리베이터·설비	엘리베이터 대기체감	정성	5점 척도	매우 좋음 / 보통 / 나쁨	고층 대단지 체감 편의에 영향	정성 지표
단지상품성	엘리베이터·설비	누수/배관 이력	코드	없음/경미/반복	없음 / 간헐 / 반복 민원	구축 리스크 판단 핵심	민원 데이터 활용 가능
단지상품성	관리 품질	관리비 수준	정량	원/평 또는 원/세대	낮음 / 보통 / 높음	무조건 낮은 것보다 효율성이 중요	정량+정성 병행
단지상품성	관리 품질	장기수선충당금 수준	정량	원/세대	낮음 / 보통 / 높음	적정 수준이면 장기 유지보수 안정성에 도움	보조 지표
단지상품성	관리 품질	민원 빈도	정성	5점 척도	낮음 / 보통 / 높음	민원 많으면 실거주 만족도와 이미지 저하	정성 데이터
단지상품성	용적률·동간거리	건폐율 수준	정량	%	10 / 20 / 30% 이상	낮을수록 개방감과 조경 공간 확보에 유리	보조 지표
단지상품성	용적률·동간거리	조경면적 체감	정성	5점 척도	우수 / 보통 / 미흡	체감 상품성과 이미지에 영향	현장 요소
세대/호실	평면	주력 평형대	코드	소형/중형/국민평형/대형	59 / 74 / 84 / 101 / 114 등	대중 선호 평형대일수록 환금성 우수	평형별 평가
세대/호실	평면	판상형 여부	불리언	Y/N	Y / N	판상형 선호가 높은 시장에서는 프리미엄 가능	시장별 편차
세대/호실	평면	주방-거실 일체감	정성	5점 척도	우수 / 보통 / 미흡	실거주 만족도와 체감 개방감에 영향	정성 지표
세대/호실	평면	수납 특화 여부	코드	팬트리/드레스룸/다용도실	복수 특화 존재 / 일부 / 없음	실사용 만족도 향상	실거주 가점
세대/호실	전용률	전용률 수치	정량	%	70 / 75 / 80%	체감 면적과 상품성 차이 반영	정량 지표
세대/호실	향	주향 코드	코드	S/SE/SW/E/W/N	남향 / 남동향 / 남서향 / 동향 / 서향 / 북향	향에 따른 채광·선호도 차이	코드화 가능
세대/호실	일조	동절기 일조 체감	정성	5점 척도	풍부 / 보통 / 부족	실거주 만족과 선호도에 영향	정성 지표
세대/호실	층수	로열층 여부	불리언	Y/N	Y / N	시장 선호층이면 프리미엄 가능	단지별 기준 상이
세대/호실	조망	영구조망 여부	불리언	Y/N	Y / N	영구조망은 희소성이 높아 프리미엄 가능	개발가능지 확인 필요
세대/호실	조망	조망 차폐 가능성	코드	낮음/보통/높음	향후 신축 가능성 낮음 / 보통 / 높음	현재 조망 프리미엄 지속성 판단	미래 리스크
세대/호실	소음	동/라인 소음도	정성	5점 척도	매우 조용 / 보통 / 시끄러움	같은 단지 내 가격 차이 핵심 요인	호실 평가
세대/호실	사생활	맞동 거리	정량	m	20 / 30 / 40 / 50m 이상	가까울수록 프라이버시 저하 가능	동간거리와 연결
세대/호실	사생활	엘리베이터 인접 여부	코드	직면/인접/비인접	현관 앞 엘리베이터 / 복도 끝 / 분리	소음과 사생활 체감에 영향	호실 세부
시장성/거래	실거래가 흐름	최근 1개월 증감률	정량	%	-5 / 0 / +5 / +10%	단기 시세 흐름 파악	표본 적을 수 있음
시장성/거래	실거래가 흐름	최근 3개월 증감률	정량	%	-10 / -5 / 0 / +5 / +10%	단기~중기 추세 판단	거래량과 병행
시장성/거래	실거래가 흐름	최근 1년 증감률	정량	%	-20 / -10 / 0 / +10%	사이클 위치 판단	장기 비교
시장성/거래	거래량	월평균 거래건수	정량	건	1 / 3 / 5 / 10 / 20건	거래가 활발할수록 환금성 우수	세대수 보정
시장성/거래	거래량	거래회전율	정량	%	낮음 / 보통 / 높음	전체 세대 대비 거래 빈도로 시장 활력 판단	고급 지표
시장성/거래	호가-실거래 괴리	평균 괴리율	정량	%	3 / 5 / 10 / 15% 이상	괴리율 크면 허수 호가 가능성	실거래 중심 판단
시장성/거래	전세가율	매매 대비 전세비율	정량	%	40 / 50 / 60 / 70%	투자 진입장벽과 하방 지지 판단	핵심 지표
시장성/거래	전세 수요	전세 소진 속도	정성	5점 척도	빠름 / 보통 / 느림	임차 수요 강도 판단	중개시장 참고
시장성/거래	전세 수요	전세-월세 전환 경향	코드	전세우위/혼합/월세우위	전세 중심 / 혼합 / 월세 증가	임차시장 구조 변화 판단	시장 변화 지표
공급	입주물량	반경 1km 입주량	정량	세대	적음 / 보통 / 많음 / 매우 많음	직접 경쟁 신축 공급 판단에 가장 민감	우선 지표
공급	입주물량	반경 3km 입주량	정량	세대	1,000 / 3,000 / 5,000세대 이상	생활권 전체 공급 압력 판단	보조 지표
공급	입주물량	동일 평형 경쟁단지 수	정량	개	1 / 3 / 5 / 10개 이상	동일 수요층 경쟁 정도 판단	세부 경쟁도
공급	미분양 수준	미분양 단계	코드	일반/준공후/악성	미분양 / 준공후 미분양 / 장기 악성	수요 약세 신호 강도 구분	중요 리스크
공급	재개발·재건축	주변 정비사업 단계	코드	구상/추진/인가/착공/입주	초기 / 진행 / 가시화 / 완성	생활권 재편과 미래 공급을 함께 반영	양면성
공급	재개발·재건축	직접 경쟁 신축 품질	정성	5점 척도	높음 / 보통 / 낮음	신규 공급의 상품성이 높을수록 기존 단지 압박	질적 평가
정책/금융	기준금리	시장 금리 민감도	정성	5점 척도	매우 민감 / 보통 / 낮음	레버리지 비중 높은 시장일수록 민감	지역별 차이
정책/금융	LTV 규제	규제 강도	코드	강함/보통/완화	투기과열 / 조정대상 / 비규제 수준 등	매수 가능 수요층 범위에 영향	정책 추적 필요
정책/금융	DSR 규제	현금흐름 압박도	정성	5점 척도	높음 / 보통 / 낮음	같은 가격대라도 소득 대비 매수 가능성 달라짐	개인 맞춤과 연결
정책/금융	보유세	재산세 부담감	정성	5점 척도	낮음 / 보통 / 높음	보유비용 인식이 장기 보유 의사에 영향	실효세액 필요
정책/금융	보유세	종부세 민감도	코드	비해당/가능성/해당	비해당 / 잠재 / 해당	고가주택 및 다주택자 투자전략에 영향	민감 변수
정책/금융	취득세	중과 여부	코드	기본/중과	기본세율 / 중과세율	투자 진입비용과 거래량에 영향	다주택자 핵심
정책/금융	양도세	비과세 가능성	코드	가능/제한	1주택 비과세 가능 / 제한 / 불가	실거주·투자 매도 전략에 영향	보유기간·거주요건 연계
정책/금융	공시가격	시세반영률 체감	정성	5점 척도	낮음 / 보통 / 높음	보유세 체감 강도에 영향	추후 정량화 가능
정책/금융	규제지역	청약 규제 강도	코드	강함/보통/약함	전매제한 / 재당첨제한 / 대출제한 등	신축 수요 및 투자심리에 영향	청약시장 연계
개발호재	교통 호재	확정성 점수	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	호재의 실현 가능성을 구분해 과열 방지	핵심 보정값
개발호재	교통 호재	예상 개통 시점	정량	년	1년 / 3년 / 5년 / 10년 이상	개통이 가까울수록 실질 반영력 상승	시간 할인 필요
개발호재	개발계획	사업 규모	코드	소규모/중형/대형	블록단위 / 지구단위 / 신도시급	규모 클수록 주변 가치 재편 가능성 증가	양면성
개발호재	업무지구 확장	고용 창출 예상치	정성	5점 척도	낮음 / 보통 / 높음	양질의 일자리 유입이 많을수록 장기 수요 질 개선	정성 추정값
수요구조	인구	순유입 여부	코드	유입/보합/유출	증가 / 정체 / 감소	지속 유입일수록 수요 기반 강화	지역지표
수요구조	인구	연령대 유입 구조	코드	2030/3040/5060 중심	젊은층 중심 / 가족층 중심 / 고령층 중심	선호 평형·상품성이 달라짐	타깃 분석
수요구조	소득	고소득 수요 비중	정성	5점 척도	높음 / 보통 / 낮음	상위 단지 프리미엄 유지에 유리	장기 수요 질
수요구조	임차	전세 선호도	정성	5점 척도	강함 / 보통 / 약함	전세가율과 하방 방어 판단에 영향	임차 구조
리스크	혐오시설	체감 리스크 수준	정성	5점 척도	매우 큼 / 큼 / 보통 / 적음 / 없음	심리적 거부감이 크면 가격 할인 발생	거리+노출 종합
리스크	소음	야간 소음 체감	정성	5점 척도	매우 큼 / 큼 / 보통 / 적음 / 없음	실거주 만족도와 재판매성 저하	시간대 중요
리스크	환경	분진 체감	정성	5점 척도	매우 큼 / 큼 / 보통 / 적음 / 없음	대로변·공사장·산단 인접 시 감점	정성 지표
리스크	재해	침수 이력 여부	불리언	Y/N	Y / N	침수 이력은 강한 리스크 요인	컷오프 후보
리스크	재해	산사태/지반 리스크	코드	없음/주의/위험	없음 / 주의 / 위험	안전성과 심리에 영향	보조 리스크
리스크	커뮤니티 분위기	주차 갈등 수준	정성	5점 척도	낮음 / 보통 / 높음	실거주 만족도와 민원 빈도에 영향	정성 데이터
리스크	커뮤니티 분위기	온라인 평판	정성	5점 척도	좋음 / 보통 / 나쁨	실제와 차이 있을 수 있으나 초기 인식에 영향	보조 지표
리스크	관리 리스크	누수/하자 민원 빈도	정성	5점 척도	낮음 / 보통 / 높음	상품성·재판매성 저하 가능	정성 리스크
종합판단	직접 요소 결합	입지×교통×학군 조합점수	정성	5점 척도	매우 강함 / 강함 / 보통 / 약함 / 매우 약함	핵심 수요 유지력 판단	서비스 계산값
종합판단	직접 요소 결합	단지×호실 조합점수	정성	5점 척도	매우 강함 / 강함 / 보통 / 약함 / 매우 약함	같은 급지 내 상품 경쟁력 판단	서비스 계산값
종합판단	간접 요소 결합	정책×금리×공급 압박도	정성	5점 척도	매우 큼 / 큼 / 보통 / 낮음 / 매우 낮음	단기 투자환경과 가격 압력 판단	서비스 계산값
종합판단	미래가치 결합	호재 실현가능성 종합	정성	5점 척도	매우 높음 / 높음 / 보통 / 낮음 / 매우 낮음	단순 기대감과 실현 가능성 구분	서비스 계산값
종합판단	리스크 결합	컷오프 리스크 여부	불리언	Y/N	Y / N	심각한 소음·침수·통학위험·주차난이면 총점과 무관하게 재검토 필요	핵심 컷오프
